
         6073355 function calls (5735582 primitive calls) in 7.982 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base.py:171(LinearClassifierMixin)
        1    0.000    0.000    0.000    0.000 base.py:18(SelectorMixin)
        1    0.000    0.000    0.000    0.000 base.py:195(asformat)
        1    0.000    0.000    0.000    0.000 base.py:2(<module>)
        1    0.000    0.000    0.000    0.000 base.py:20(SparseFormatWarning)
        1    0.000    0.000    0.000    0.000 base.py:23(UndefinedMetricWarning)
        1    0.000    0.000    0.000    0.000 base.py:24(SparseEfficiencyWarning)
        1    0.000    0.000    0.000    0.000 base.py:250(SparseCoefMixin)
        1    0.000    0.000    0.000    0.000 base.py:267(ClassifierMixin)
        1    0.000    0.000    0.000    0.000 base.py:299(RegressorMixin)
        1    0.000    0.000    0.000    0.000 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:304(LinearRegression)
        1    0.000    0.000    0.000    0.000 base.py:332(ClusterMixin)
        1    0.000    0.000    0.000    0.000 base.py:353(BiclusterMixin)
        1    0.000    0.000    0.000    0.000 base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 base.py:406(TransformerMixin)
        1    0.000    0.000    0.000    0.000 base.py:426(__getattr__)
        1    0.000    0.000    0.000    0.000 base.py:440(MetaEstimatorMixin)
        1    0.000    0.000    0.000    0.000 base.py:468(BaseSVC)
        1    0.000    0.000    0.000    0.000 base.py:54(BaseLibSVM)
        1    0.000    0.000    0.000    0.000 base.py:55(spmatrix)
        4    0.000    0.000    0.000    0.000 base.py:63(__init__)
        1    0.000    0.000    0.000    0.000 base.py:67(__init__)
        4    0.000    0.000    0.000    0.000 base.py:702(isspmatrix)
        4    0.000    0.000    0.000    0.000 base.py:71(set_shape)
       16    0.000    0.000    0.000    0.000 base.py:93(get_shape)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      549    0.001    0.000    0.002    0.000 base_events.py:1012(_add_callback)
        7    0.000    0.000    0.000    0.000 base_events.py:1025(_timer_handle_cancelled)
     5035    0.057    0.000    7.690    0.002 base_events.py:1030(_run_once)
