	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	angVel
8	15	0.32	-0.5	0	-0.21	0.4	0.02	0	-0.5	0	-0.1562	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.21	0.35	0.02	0	-0.5	0	-0.1786	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.21	0.3	0.02	0	-0.5	0	-0.2273	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.21	0.25	0.02	0	-0.5	0	-0.2778	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.21	0.2	0.02	0	-0.5	0	-0.3846	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.21	0.15	0.02	0	-0.5	0	-0.625	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.21	0.1	0.02	0	-0.5	0	-2.5	-0.5	0	0	0	0	0	0.49	0	0
8	15	0	-0.22	1	-0.21	0.06	0.02	0.02	-0.22	0	-22	-0.22	-0.01	0	0	0	0	0.49	0	0
8	15	0	-0.22	1	-0.21	0.04	0.02	0.01	-0.22	0	-22	-0.22	0.03	0	0	0	0	0.5	0	0
8	15	0	-0.23	1	-0.21	0.02	0.02	-0.02	-0.24	0	-23	-0.23	0.08	0	0	0	0	0.5	0	0
8	15	0	-0.24	1	-0.21	0	0.02	-0.04	-0.27	0	-24	-0.24	0.14	0	0	0	0	0.5	0	0
8	15	0	-0.21	1	-0.22	-0.03	0.02	-0.07	-0.27	0	-21	-0.21	0.19	0	0	0	0	0.5	0	0
8	15	0	-0.21	1	-0.23	-0.06	0.02	-0.08	-0.3	0	-21	-0.21	0.23	0	0	0	0	0.5	0	0
8	15	-0.01	-0.23	1	-0.23	-0.09	0.02	-0.08	-0.35	0	-23	-0.23	0.28	0	0	0	0	0.5	0	0
8	15	0	-0.16	1	-0.24	-0.12	0.02	-0.03	-0.45	0	-16	0.32	-0.32	0	0	0	0	0.5	0	0
8	15	0.02	0.33	0	-0.24	-0.17	0.02	0	-0.5	0	1.65	0.33	-0.37	0	0	0	0	0.5	0	0
8	15	0.05	0.33	0	-0.24	-0.22	0.02	0	-0.5	0	0.66	0.33	0.37	0	0	0	0	0.5	0	0
8	15	0.42	0	0	-0.2	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.2	0.46	0.02	0	-0.5	0	-0.1316	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.2	0.4	0.02	0	-0.5	0	-0.1562	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.2	0.35	0.02	0	-0.5	0	-0.1786	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.2	0.3	0.02	0	-0.5	0	-0.2273	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.2	0.25	0.02	0	-0.5	0	-0.2778	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.2	0.2	0.02	0	-0.5	0	-0.3846	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.2	0.15	0.02	0	-0.5	0	-0.625	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.2	0.1	0.02	0	-0.5	0	-2.5	-0.5	0	0	0	0	0	0.49	0	0
8	15	0	-0.21	1	-0.2	0.07	0.02	0.03	-0.21	0	-21	-0.21	-0.02	0	0	0	0	0.49	0	0
8	15	0.01	-0.21	1	-0.2	0.05	0.02	0.01	-0.21	0	-2.1	-0.21	0.02	0	0	0	0	0.48	0	0
8	15	0.01	-0.2	1	-0.2	0.03	0.02	-0.02	-0.21	0	-2	-0.2	0.08	0	0	0	0.01	0.48	0	0
8	15	0	-0.18	1	-0.2	0	0.02	-0.06	-0.22	0	-18	-0.18	0.14	0	0	0	0.01	0.48	0	0
