#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
8	15	0.01	0.25	0	0.27	-0.11	0.02	0	-0.5	0	25	0.25	-0.43	25	-43	0	0	0.5	0	0
8	15	0.04	0.25	0	0.27	-0.16	0.02	0	-0.5	0	6.25	0.25	0.43	6.25	10.75	0	0	0.5	0	0
8	15	0.06	0.25	0	0.27	-0.21	0.02	0	-0.5	0	4.1667	0.25	0.43	4.1667	7.1667	0	0	0.5	0	0
8	15	0.1	0.38	0	0.27	-0.26	0.02	0	-0.5	0	3.8	0.43	0.25	4.3	2.5	0	0	0.5	0	0
8	15	0.42	0	0	-0.25	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.25	0.46	0.02	0	-0.5	0	-1.3158	0	-0.5	0	-1.3158	0	0	0.5	0	0
8	15	0.34	-0.5	0	-0.25	0.41	0.02	0	-0.5	0	-1.4706	0	-0.5	0	-1.4706	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.25	0.36	0.02	0	-0.5	0	-1.7857	0	-0.5	0	-1.7857	0	0	0.5	0	0
8	15	0.24	-0.5	0	-0.25	0.31	0.02	0	-0.5	0	-2.0833	0	-0.5	0	-2.0833	0	0	0.5	0	0
8	15	0.19	-0.5	0	-0.25	0.26	0.02	0	-0.5	0	-2.6316	0	-0.5	0	-2.6316	0	0	0.5	0	0
8	15	0.14	-0.51	0	-0.25	0.21	0.02	0	-0.51	0	-3.6429	0	-0.51	0	-3.6429	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.25	0.16	0.02	0	-0.5	0	-6.25	0	-0.5	0	-6.25	0	0	0.5	0	0
8	15	0	-0.12	1	-0.26	-0.07	0.02	-0.08	-0.37	0	-120	0.25	-0.28	250	-280	0	0	0.5	0	0
8	15	0.01	0.25	0	-0.27	-0.11	0.02	0	-0.5	0	25	0.25	-0.43	25	-43	0	0	0.5	0	0
8	15	0.04	0.25	0	-0.27	-0.16	0.02	0	-0.5	0	6.25	0.25	0.43	6.25	10.75	0	0	0.5	0	0
8	15	0.06	0.25	0	-0.27	-0.21	0.02	0	-0.5	0	4.1667	0.25	0.43	4.1667	7.1667	0	0	0.5	0	0
8	15	0.1	0.38	0	-0.27	-0.26	0.02	0	-0.5	0	3.8	0.25	0.43	2.5	4.3	0	0	0.5	0	0
8	15	0.42	0	0	0	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	0	0.46	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.34	-0.5	0	0	0.41	0.02	0	-0.5	0	-1.4706	-0.5	0	-1.4706	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	0	0.36	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.24	-0.5	0	0	0.31	0.02	0	-0.5	0	-2.0833	-0.5	0	-2.0833	0	0	0	0.5	0	0
8	15	0.19	-0.5	0	0	0.26	0.02	0	-0.5	0	-2.6316	-0.5	0	-2.6316	0	0	0	0.5	0	0
8	15	0.14	-0.51	0	0	0.21	0.02	0	-0.51	0	-3.6429	-0.51	0	-3.6429	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	0	0.16	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.03	-0.5	0	0	0.11	0.02	0	-0.5	0	-16.6667	-0.5	0	-16.6667	0	0	0	0.49	0	0
15	8	0.03	-0.5	0	0	-0.11	-0.02	0	0.5	0	-16.6667	-0.5	0	-16.6667	0	2	0	0.49	0	0
8	15	0.01	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
15	8	0.01	0	1	0	-0.08	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.03
15	8	0	0	1	0	-0.08	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.03
15	8	0	0	1	0	-0.08	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.03
15	8	0.01	0	1	0	-0.08	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.03
15	8	-0.01	0	1	0	-0.07	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.02
15	8	0	0	1	0	-0.07	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.02
15	8	0	0	1	0	-0.07	-0.02	0	0	0	0	0	0	0	0	2	0	0.49	0	-0.01
8	15	0.38	-0.5	0	-0.09	0.46	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.34	-0.5	0	-0.09	0.41	0.02	0	-0.5	0	-1.4706	-0.5	0	-1.4706	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.09	0.36	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.24	-0.5	0	-0.09	0.31	0.02	0	-0.5	0	-2.0833	-0.5	0	-2.0833	0	0	0	0.5	0	0
8	15	0.19	-0.5	0	-0.09	0.26	0.02	0	-0.5	0	-2.6316	-0.5	0	-2.6316	0	0	0	0.5	0	0
8	15	0.14	-0.51	0	-0.09	0.21	0.02	0	-0.51	0	-3.6429	-0.51	0	-3.6429	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.09	0.16	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.03	-0.5	0	-0.09	0.11	0.02	0	-0.5	0	-16.6667	-0.5	0	-16.6667	0	0	0	0.5	0	0
15	8	0.03	-0.5	0	0.09	-0.11	-0.02	0	0.5	0	-16.6667	-0.5	0	-16.6667	0	3	-0.02	0.37	0	1.46
8	15	0.01	0.33	0	-0.2	-0.21	0.02	0	-0.5	0	33	0.43	-0.26	43	-26	0	0	0.5	0	0
