#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
8	15	0	-0.24	1	-0.26	-0.01	0.02	-0.04	-0.27	0	-240	-0.24	0.13	-240	130	0	0.02	0.49	0	0
8	15	0	-0.15	1	-0.27	-0.04	0.02	-0.08	-0.4	0	-150	0.23	-0.33	230	-330	0	0	0.5	0	0
8	15	0.01	0.2	0	-0.27	-0.09	0.02	0	-0.5	0	20	0.2	-0.46	20	-46	0	0	0.5	0	0
8	15	0.03	0.2	0	-0.27	-0.14	0.02	0	-0.5	0	6.6667	0.2	0.46	6.6667	15.3333	0	0	0.5	0	0
8	15	0.05	0.3	0	-0.27	-0.19	0.02	0	-0.5	0	6	0.2	0.46	4	9.2	0	0	0.5	0	0
8	15	0.09	0.42	0	-0.27	-0.24	0.02	0	-0.5	0	4.6667	0.2	0.46	2.2222	5.1111	0	0	0.5	0	0
8	15	0.13	0.46	0	-0.27	-0.29	0.02	0	-0.5	0	3.5385	0.2	0.46	1.5385	3.5385	0	0	0.5	0	0
8	15	0.42	0	0	-0.07	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.07	0.45	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.07	0.4	0.02	0	-0.5	0	-1.5625	-0.5	0	-1.5625	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.07	0.35	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.07	0.3	0.02	0	-0.5	0	-2.2727	-0.5	0	-2.2727	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.07	0.25	0.02	0	-0.5	0	-2.7778	-0.5	0	-2.7778	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.07	0.2	0.02	0	-0.5	0	-3.8462	-0.5	0	-3.8462	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.07	0.15	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.07	0.1	0.02	0	-0.5	0	-25	-0.5	0	-25	0	0	0	0.5	0	0
8	15	0	-0.1	1	-0.07	0.07	0.02	0.06	-0.1	0	-100	-0.1	-0.05	-100	-50	0	0	0.48	0	0
8	15	0.01	-0.07	1	-0.07	0.07	0.02	-0.01	-0.07	0	-7	-0.07	0.03	-7	3	0	0	0.49	0	0
8	15	0	-0.04	1	-0.07	0.06	0.02	-0.03	-0.05	0	-40	-0.04	0.04	-40	40	0	0	0.5	0	0
8	15	0	-0.04	1	-0.07	0.05	0.02	-0.02	-0.05	0	-40	-0.04	0.04	-40	40	0	0	0.5	0	0
8	15	0	-0.05	1	-0.08	0.05	0.02	-0.02	-0.06	0	-50	-0.05	0.04	-50	40	0	0.01	0.47	0	0
8	15	0	0	1	-0.08	0.04	0.02	-0.02	-0.01	0	0	0	0.02	0	20	0	0.01	0.48	0	0
8	15	0	0	1	-0.08	0.04	0.02	-0.02	-0.01	0	0	0	0.02	0	20	0	0	0.5	0	0
8	15	0	-0.03	1	-0.08	0.04	0.02	-0.01	-0.04	0	-30	-0.03	0.03	-30	30	0	0.01	0.48	0	0
8	15	-0.01	-0.02	1	-0.08	0.03	0.02	-0.06	-0.06	0	-20	-0.02	0.08	-20	80	0	0.01	0.48	0	0
8	15	0	-0.05	1	-0.09	0.03	0.02	-0.11	-0.14	0	-50	-0.05	0.17	-50	170	0	0	0.5	0	0
8	15	0	-0.11	1	-0.1	0.01	0.02	-0.13	-0.26	0	-110	-0.11	0.27	-110	270	0	0	0.5	0	0
8	15	0.42	0	0	-0.25	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.25	0.46	0.02	0	-0.5	0	-1.3158	0	-0.5	0	-1.3158	0	0	0.5	0	0
8	15	0.34	-0.5	0	-0.25	0.41	0.02	0	-0.5	0	-1.4706	0	-0.5	0	-1.4706	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.25	0.36	0.02	0	-0.5	0	-1.7857	0	-0.5	0	-1.7857	0	0	0.5	0	0
8	15	0.24	-0.5	0	-0.25	0.31	0.02	0	-0.5	0	-2.0833	0	-0.5	0	-2.0833	0	0	0.5	0	0
8	15	0.19	-0.5	0	-0.25	0.26	0.02	0	-0.5	0	-2.6316	0	-0.5	0	-2.6316	0	0	0.5	0	0
8	15	0.14	-0.5	0	-0.25	0.21	0.02	0	-0.5	0	-3.5714	0	-0.5	0	-3.5714	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.25	0.16	0.02	0	-0.5	0	-6.25	0	-0.5	0	-6.25	0	0	0.5	0	0
8	15	0.03	-0.5	0	-0.25	0.11	0.02	0	-0.5	0	-16.6667	0	-0.5	0	-16.6667	0	0	0.5	0	0
8	15	0	-0.25	1	-0.25	0.07	0.02	0	-0.25	0	-250	-0.25	0.01	-250	10	0	0	0.49	0	0
8	15	0	-0.24	1	-0.25	0.04	0.02	0.01	-0.24	0	-240	-0.24	0.02	-240	20	0	0	0.5	0	0
8	15	0.01	-0.25	1	-0.25	0.02	0.02	-0.01	-0.26	0	-25	-0.25	0.07	-25	7	0	0.01	0.48	0	0
8	15	0	-0.22	1	-0.25	-0.01	0.02	-0.04	-0.25	0	-220	-0.22	0.12	-220	120	0	0	0.5	0	0
8	15	0	-0.22	1	-0.26	-0.04	0.02	-0.05	-0.29	0	-220	0.17	-0.24	170	-240	0	0.01	0.5	0	0
8	15	0	-0.14	1	-0.26	-0.07	0.02	-0.07	-0.35	0	-140	0.24	-0.27	240	-270	0	0	0.5	0	0
